[INFO ] [2021-05-30 09:26:51,771] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 09:27:21,525] STEP 01 - Open home page
[INFO ] [2021-05-30 09:27:21,718] STEP 02 - Click on register link
[INFO ] [2021-05-30 09:27:23,247] STEP 03 - Select gender
[INFO ] [2021-05-30 09:27:23,557] STEP 04 - Enter first name
[INFO ] [2021-05-30 09:27:23,671] STEP 05 - Enter last name
[INFO ] [2021-05-30 09:27:23,772] STEP 06 - Enter email address
[INFO ] [2021-05-30 09:27:23,886] STEP 07 - Enter password
[INFO ] [2021-05-30 09:27:23,992] STEP 08 - Enter confirm password
[INFO ] [2021-05-30 09:27:24,098] STEP 09 - Click on register button
[INFO ] [2021-05-30 09:27:26,283] STEP 10 - Verify success message displayed after registered
[INFO ] [2021-05-30 09:27:28,061] STEP 01 - Home page - Click on Login link
[INFO ] [2021-05-30 09:27:29,163] STEP 02 - Login page - Enter email address
[INFO ] [2021-05-30 09:27:29,303] STEP 03 - Login page - Enter password
[INFO ] [2021-05-30 09:27:29,424] STEP 04 - Login page - Click on Login button
[INFO ] [2021-05-30 15:06:11,927] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 15:06:32,641] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-05-30 15:06:32,886] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-05-30 15:06:35,565] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-05-30 15:06:35,869] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-05-30 15:06:35,981] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-05-30 15:06:36,093] Login_01_Register_To_System: STEP 06 - Enter email address
[INFO ] [2021-05-30 15:06:36,192] Login_01_Register_To_System: STEP 07 - Enter password
[INFO ] [2021-05-30 15:06:36,295] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-05-30 15:06:36,388] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-05-30 15:06:39,373] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-05-30 15:06:41,810] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-05-30 15:06:43,319] Login_02_Login_To_System: STEP 02 - Login page - Enter email address
[INFO ] [2021-05-30 15:06:43,434] Login_02_Login_To_System: STEP 03 - Login page - Enter password
[INFO ] [2021-05-30 15:06:43,538] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-05-30 15:06:45,719] Post-condition: Close browser
[INFO ] [2021-05-30 15:24:59,478] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 15:26:34,924] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 15:27:04,305] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-05-30 15:27:04,613] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-05-30 15:27:06,768] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-05-30 15:27:07,062] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-05-30 15:27:07,180] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-05-30 15:27:07,274] Login_01_Register_To_System: STEP 06 - Enter email address: testing937@gmail.com
[INFO ] [2021-05-30 15:27:07,381] Login_01_Register_To_System: STEP 07 - Enter password: 123456
[INFO ] [2021-05-30 15:27:07,479] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-05-30 15:27:07,582] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-05-30 15:27:12,904] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-05-30 15:27:16,498] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-05-30 15:27:17,109] Login_02_Login_To_System: STEP 02 - Login page - Enter email address: testing937@gmail.com
[INFO ] [2021-05-30 15:27:17,250] Login_02_Login_To_System: STEP 03 - Login page - Enter password: 123456
[INFO ] [2021-05-30 15:27:17,351] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-05-30 15:27:19,411] Post-condition: Close browser
[INFO ] [2021-05-30 15:38:15,479] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 15:38:26,115] Login_01_Register_To_System: STEP 01 - Open home page
[INFO ] [2021-05-30 15:38:26,291] Login_01_Register_To_System: STEP 02 - Click on register link
[INFO ] [2021-05-30 15:38:28,696] Login_01_Register_To_System: STEP 03 - Select gender
[INFO ] [2021-05-30 15:38:28,985] Login_01_Register_To_System: STEP 04 - Enter first name
[INFO ] [2021-05-30 15:38:29,105] Login_01_Register_To_System: STEP 05 - Enter last name
[INFO ] [2021-05-30 15:38:29,224] Login_01_Register_To_System: STEP 06 - Enter email address: testing840@gmail.com
[INFO ] [2021-05-30 15:38:29,322] Login_01_Register_To_System: STEP 07 - Enter password: 123456
[INFO ] [2021-05-30 15:38:29,412] Login_01_Register_To_System: STEP 08 - Enter confirm password
[INFO ] [2021-05-30 15:38:29,504] Login_01_Register_To_System: STEP 09 - Click on register button
[INFO ] [2021-05-30 15:38:32,204] Login_01_Register_To_System: STEP 10 - Verify success message displayed after registered
[INFO ] [2021-05-30 15:38:34,056] Login_02_Login_To_System: STEP 01 - Home page - Click on Login link
[INFO ] [2021-05-30 15:38:35,306] Login_02_Login_To_System: STEP 02 - Login page - Enter email address: testing840@gmail.com
[INFO ] [2021-05-30 15:38:35,419] Login_02_Login_To_System: STEP 03 - Login page - Enter password: 123456
[INFO ] [2021-05-30 15:38:35,513] Login_02_Login_To_System: STEP 04 - Login page - Click on Login button
[INFO ] [2021-05-30 15:38:36,927] Post-condition: Close browser
[INFO ] [2021-05-30 15:52:28,901] Pre-condition: Initial browser driver
[INFO ] [2021-05-30 15:52:48,862] Post-condition: Close browser
